Energy,IncidentSpectraPerSr
8481.0943980464,14815284186.229
8506.05030525031,13766728950.6487
8531.00621245421,13125892417.6615
8555.96211965812,11729003964.2002
8580.91802686203,10730118250.793
8605.87393406594,9574450949.83912
8630.82984126984,8472780752.80315
8655.78574847375,7380254451.72533
8680.74165567766,6594041529.72218
8705.69756288156,5737028237.54082
8730.65347008547,4835825814.23878
8755.60937728938,4155063806.78204
8780.56528449328,3685227267.12473
8805.52119169719,3334175910.00782
8830.4770989011,2885662765.66755
8855.43300610501,2698282628.84888
8880.38891330891,2501055871.74397
8905.34482051282,2185655426.51498
8930.30072771673,2243782553.39188
8955.25663492064,2074221791.18745
8980.21254212454,2127526588.86552
9005.16844932845,2005358510.07379
9030.12435653236,1997747487.35097
9055.08026373626,2132916997.65905
9080.03617094017,2237722005.96625
9104.99207814408,2298686723.05165
9129.94798534799,2611479370.43461
9154.90389255189,2755899362.07858
9179.8597997558,3025285927.69871
9204.81570695971,3334170702.81405
9229.77161416361,3701000961.23446
9254.72752136752,4243526083.44983
9279.68342857143,4775701475.55989
9304.63933577534,5503640068.50881
9329.59524297924,6281639025.99341
9354.55115018315,7026291941.9205
9379.50705738706,7899814627.89051
9404.46296459096,8566709345.07703
9429.41887179487,9491834353.3821
9454.37477899878,10391239105.3923
9479.33068620269,11083731994.0055
9504.28659340659,11855048189.8598
9529.2425006105,12672062274.9741
9554.19840781441,13147065976.7134
9579.15431501832,13786118642.9327
9604.11022222222,13906772277.7859
9629.06612942613,14363299663.9335
9654.02203663004,14330103124.0632
9678.97794383394,14321848399.2785
9703.93385103785,13938991646.1496
9728.88975824176,13746964903.1484
9753.84566544567,13388226223.752
9778.80157264957,12460464472.2582
9803.75747985348,12237324122.971
9828.71338705739,11745981719.6816
9853.6692942613,10917082310.8853
9878.6252014652,10234156260.6921
9903.58110866911,9266382364.37342
9928.53701587302,8678471272.30125
9953.49292307692,7990621339.83674
9978.44883028083,7230090067.38245
10003.4047374847,6469405918.02468
10028.3606446886,5944665717.62434
10053.3165518926,5308294647.29797
10078.2724590965,4698368385.45836
10103.2283663004,4190540430.71616
10128.1842735043,3804033024.79779
10153.1401807082,3335933208.79554
10178.0960879121,3010955428.84644
10203.051995116,2670112176.63513
10228.0079023199,2410886529.15946
10252.9638095238,2218324978.60463
10277.9197167277,1928843353.56602
10302.8756239316,1852290107.6423
10327.8315311355,1685210491.0449
10352.7874383394,1572550067.12783
10377.7433455433,1519604849.87904
10402.6992527473,1483157070.40331
10427.6551599512,1474778081.98094
10452.6110671551,1440783566.90188
10477.566974359,1296440663.74781
10502.5228815629,1339206232.19582
10527.4787887668,1334530675.44316
10552.4346959707,1365906666.60125
10577.3906031746,1393516566.82652
10602.3465103785,1355385698.21782
10627.3024175824,1459355308.34189
10652.2583247863,1400535724.62248
10677.2142319902,1415453850.79353
